player_name,team_abbr,stand,pitcher_name,p_throws,home_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,season_hr,bat_order,game_total,recent_hr,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,game_date,game_id,batter
Vladimir Guerrero Jr.,TOR,R,Zack Wheeler,R,TOR,H,mlb_schedule,0.09220562809776053,985,1,prophetx,700.0,0.125,-0.0328,0.0923956709925795,0.1058394160583941,0.1313868613138686,0.7627737226277371,4.3,0.9979431623497357,106.3,,,,0,3.0,1.0,7.0,0,0.0,0.3023255813953488,0.0930232558139534,84.49994708994709,0.3410857142857142,0.4147511904761904,0.018808777429467,0.2288401253918495,0.0313479623824451,2026-06-09,822805,665489
Juan Soto,NYM,L,Dustin May,R,NYM,H,mlb_schedule,0.17993118618442397,456,1,betrivers,370.0,0.2127659574468085,-0.0328,0.1807979661163598,0.145631067961165,0.1262135922330097,0.7281553398058254,4.1,0.9952058092767594,95.0,79.4,12.0,11.817693036146496,0,13.0,3.0,7.5,0,0.0434782608695652,0.3623188405797101,0.3043478260869565,90.12725396825395,0.5095177777777777,0.8415088888888889,0.0130718954248366,0.284313725490196,0.0163398692810457,2026-06-09,823620,665742
Nathan Lukes,TOR,L,Zack Wheeler,R,TOR,H,mlb_schedule,0.05797506997480985,1625,1,prophetx,1000.0,0.09090909090909091,-0.0329,0.0583465405179459,0.22,0.08,0.7000000000000001,4.2,0.9936333750066674,108.2,,,,0,,2.0,7.0,1,0.0,0.1954022988505747,0.0804597701149425,82.08223015873017,0.4193488888888889,0.5460422222222223,0.018808777429467,0.2288401253918495,0.0313479623824451,2026-06-09,822805,664770
Ketel Marte,AZ,L,Max Meyer,R,MIA,A,mlb_schedule,0.12070409652419924,728,1,betrivers,550.0,0.15384615384615385,-0.0331,0.1209156413222359,0.1535580524344569,0.0749063670411985,0.7715355805243447,4.3,0.9982504761524368,91.5,,,,0,11.0,1.0,7.5,1,0.0151515151515151,0.3181818181818182,0.1969696969696969,86.24339947089948,0.5208294871794872,0.8669910256410257,0.0329670329670329,0.2600732600732601,0.0146520146520146,2026-06-09,823858,606466
Max Muncy,LAD,L,Paul Skenes,R,PIT,A,mlb_schedule,0.13081420439353772,664,1,prophetx,510.0,0.16393442622950818,-0.0331,0.1336799906899867,0.2533333333333333,0.12,0.6266666666666666,3.9,0.9785623391978314,90.6,86.7,13.3,13.227141208398036,0,14.0,5.0,8.5,0,0.0,0.2,0.1076923076923077,80.52077777777778,0.3275538461538462,0.4966166666666666,0.0095541401273885,0.2038216560509554,0.019108280254777,2026-06-09,823374,571970
Fernando Tatis Jr.,SD,R,Chase Burns,R,SD,H,mlb_schedule,0.10361566022945376,865,1,novig,630.0,0.136986301369863,-0.0334,0.1043558086737654,0.2145454545454545,0.1018181818181818,0.6836363636363636,4.3,0.9929074533203468,101.7,75.7,9.2,-7.442956348249515,0,1.0,1.0,7.5,0,0.0,0.2985074626865671,0.1194029850746268,84.34376984126985,0.3963355555555556,0.5360499999999999,0.0183150183150183,0.2271062271062271,0.0293040293040293,2026-06-09,823290,665487
Adolis García,PHI,R,Dylan Cease,R,TOR,A,mlb_schedule,0.10145305450301527,886,1,novig,641.0,0.1349527665317139,-0.0335,0.106250913349292,0.3174603174603174,0.0952380952380952,0.5873015873015873,3.5,0.9548440696175088,106.3,,,,0,7.0,8.0,7.0,1,0.02,0.28,0.16,85.29174603174603,0.3152999999999999,0.4671277777777778,0.0115830115830115,0.2084942084942085,0.0115830115830115,2026-06-09,822805,666969
Pavin Smith,AZ,L,Max Meyer,R,MIA,A,mlb_schedule,0.07003771161665656,1328,1,novig,862.0,0.10395010395010396,-0.0339,0.0706835010669968,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,91.5,,,,0,,5.0,7.5,0,0.0,0.1896551724137931,0.1034482758620689,80.34196296296295,0.2960318598168061,0.4052407407407407,0.0329670329670329,0.2600732600732601,0.0146520146520146,2026-06-09,823858,656976
TJ Rumfield,COL,L,Colin Rea,R,COL,H,mlb_schedule,0.10831985536465097,823,1,prophetx,600.0,0.14285714285714285,-0.0345,0.108761428192231,0.1526104417670682,0.108433734939759,0.7389558232931727,4.1,0.9959399868600514,113.9,92.2,21.7,8.47886548821724,0,7.0,3.0,12.5,0,0.0136986301369863,0.1917808219178082,0.1232876712328767,81.0324074074074,0.2569166666666666,0.3327628205128204,0.0290322580645161,0.2612903225806451,0.0258064516129032,2026-06-09,824347,681198
Ryan McMahon,NYY,L,Slade Cecconi,R,CLE,A,mlb_schedule,0.1255917866851069,696,1,prophetx,520.0,0.16129032258064516,-0.0357,0.1274769811752198,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,106.3,88.3,12.8,10.611680928704532,0,,8.0,8.5,1,0.0317460317460317,0.238095238095238,0.1746031746031746,81.50177777777778,0.3804722222222222,0.5644277777777779,0.0266666666666666,0.2333333333333333,0.0266666666666666,2026-06-09,824429,641857
Nolan Gorman,STL,L,Freddy Peralta,R,NYM,A,mlb_schedule,0.111277176695932,799,1,prophetx,580.0,0.14705882352941177,-0.0358,0.1168366547901069,0.3153153153153153,0.1036036036036036,0.5810810810810811,3.5,0.9524166614992332,95.0,79.4,12.0,11.817693036146496,0,7.0,8.0,7.5,1,0.0363636363636363,0.2,0.2181818181818181,82.76677777777778,0.2220454545454545,0.3549015151515152,0.0286624203821656,0.2388535031847133,0.019108280254777,2026-06-09,823620,669357
Colt Keith,DET,L,Taj Bradley,R,DET,H,mlb_schedule,0.057780189479621366,1631,1,novig,964.0,0.09398496240601503,-0.0362,0.0585478110670759,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,97.2,81.5,15.8,15.26162805536728,0,,7.0,8.5,0,0.0185185185185185,0.2592592592592592,0.1666666666666666,83.93225925925927,0.3352428571428572,0.4614214285714285,0.0133779264214046,0.2374581939799331,0.020066889632107,2026-06-09,824267,690993
MJ Melendez,NYM,L,Dustin May,R,NYM,H,mlb_schedule,0.0953509053887841,949,1,prophetx,660.0,0.13157894736842105,-0.0362,0.0967821693767462,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,95.0,79.4,12.0,11.817693036146496,0,,8.0,7.5,0,0.0476190476190476,0.2857142857142857,0.3095238095238095,86.7513492063492,0.2782272727272727,0.4736818181818181,0.0130718954248366,0.284313725490196,0.0163398692810457,2026-06-09,823620,669004
Michael Massey,KC,L,Nathan Eovaldi,R,KC,H,mlb_schedule,0.09713985313724581,929,1,betrivers,650.0,0.13333333333333333,-0.0362,0.0984303758742232,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,85.2,,,,0,,7.0,9.5,1,0.0140845070422535,0.2253521126760563,0.1690140845070422,84.22176984126983,0.3050714285714285,0.4514702380952381,0.0165562913907284,0.2649006622516556,0.0364238410596026,2026-06-09,824105,686681
Kyle Tucker,LAD,L,Paul Skenes,R,PIT,A,mlb_schedule,0.09696493117231889,931,1,betrivers,650.0,0.13333333333333333,-0.0364,0.0984303758742232,0.1924528301886792,0.1283018867924528,0.679245283018868,3.7,0.9851118652256607,90.6,86.7,13.3,13.227141208398036,0,5.0,6.0,8.5,1,0.0,0.2527472527472527,0.1428571428571428,83.37827994227995,0.3427166666666667,0.4717222222222222,0.0095541401273885,0.2038216560509554,0.019108280254777,2026-06-09,823374,663656
Bryce Harper,PHI,L,Dylan Cease,R,TOR,A,mlb_schedule,0.1169261998822257,755,1,prophetx,550.0,0.15384615384615385,-0.0369,0.1182340117722037,0.1868131868131868,0.1465201465201465,0.6666666666666666,4.1,0.9889387844464104,108.2,,,,0,14.0,3.0,7.0,1,0.0149253731343283,0.3582089552238806,0.1044776119402985,87.31218253968254,0.5392666666666667,0.8177944444444445,0.0115830115830115,0.2084942084942085,0.0115830115830115,2026-06-09,822805,547180
Austin Riley,ATL,R,Brandon Eisert,L,CWS,A,mlb_schedule,0.1354981519119082,638,1,prophetx,480.0,0.1724137931034483,-0.0369,0.1398156396595458,0.2835820895522388,0.0970149253731343,0.619402985074627,3.6,0.9691201373598063,91.0,88.1,8.9,7.707626093681505,0,8.0,7.0,9.5,0,0.0161290322580645,0.2741935483870967,0.1612903225806451,87.29953968253969,0.3444833333333333,0.5376777777777778,0.0175438596491228,0.2280701754385964,0.0175438596491228,2026-06-09,824591,663586
Samad Taylor,SD,R,Chase Burns,R,SD,H,mlb_schedule,0.0482065416508856,1974,1,prophetx,1050.0,0.08695652173913043,-0.0387,0.0487734754452427,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,101.7,75.7,9.2,-7.442956348249515,0,,6.0,7.5,0,0.0,0.2083333333333333,0.1041666666666666,75.3958253968254,0.3230958874458874,0.460439393939394,0.0183150183150183,0.2271062271062271,0.0293040293040293,2026-06-09,823290,669392
