batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_k_1plus,p_k_2plus,adj_prob,pred_ks,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
695578,James Wood,WSH,ATH,0,1.0,1,695611,Gage Jump,L,824981,9:40 PM ET,Sutter Health Park,0,0,0.21452702702702703,2026-07-17,824981,0,1,106.1,109.2,113.8,L,4,2,1,0,0,1,2,0,0,1,4,1,1,1,1,0,0,1.0,4.0,1,0,1,1,1,0,0.3508771929824561,0.4931506849315068,0.7368421052631579,0.2054794520547945,0.37142857142857144,0.47368421052631576,0.0958904109589041,0.0547945205479452,3.1333333333333333,1.0,0.5476190476190477,0.19047619047619047,0.5238095238095238,0.23809523809523808,0.047619047619047616,0.39538222222222225,0.9454844444444443,0.5,0.12,0.42103,1.058883333333333,0.2692307692307692,0.5961538461538461,0.23943661971830985,0.22580645161290322,0.4838709677419355,0.3142857142857143,0.6775956284153005,0.2484076433121019,0.391304347826087,0.12422360248447205,0.3790322580645161,0.28225806451612906,0.024193548387096774,9.0,0.8372093023255813,8.58139534883721,0.2265193370165746,0.7042827025892269,0.33912304116944303,0.7042827025892269,1.0,"{""bet365"": {""1.5"": {""over"": 125, ""under"": -165}}}",0.5,,,,,False,,1.5,over,bet365,125.0,0.4444444444444444,True,-0.1053
683083,Nasim Nuñez,WSH,ATH,0,9.0,1,695611,Gage Jump,L,824981,9:40 PM ET,Sutter Health Park,0,0,0.21452702702702703,2026-07-17,824981,0,1,106.1,109.2,113.8,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.067,0.072,0,0,0,0,0,0,0.2571428571428571,0.35,0.6571428571428571,0.3,0.36363636363636365,0.08571428571428572,0.025,0.0,0.8,0.8,0.21739130434782608,0.13043478260869565,0.6956521739130435,0.17391304347826086,0.043478260869565216,0.2990833333333333,0.463702380952381,0.3333333333333333,0.17647058823529413,0.21033333333333334,0.24886666666666674,0.40816326530612246,0.4897959183673469,0.23214285714285715,0.21739130434782608,0.30434782608695654,0.2727272727272727,0.6775956284153005,0.2484076433121019,0.391304347826087,0.12422360248447205,0.3790322580645161,0.28225806451612906,0.024193548387096774,9.0,0.8372093023255813,8.58139534883721,0.2265193370165746,0.4512068255236232,0.12502441748588353,0.4512068255236232,0.8,"{""bet365"": {""0.5"": {""over"": -200, ""under"": 150}}, ""betmgm"": {""0.5"": {""over"": -190}}}",0.5,over,betmgm,-190.0,0.6551724137931034,True,-0.204,1.5,,,,,False,
682998,Corbin Carroll,AZ,STL,1,3.0,1,700241,Michael McGreevy,R,825060,9:40 PM ET,Chase Field,0,1,0.20107719928186715,2026-07-17,825060,1,0,105.5,106.3,89.5,L,4,4,0,0,0,0,0,0,0,2,0,2,0,1,1,1,0,0.312,0.736,0,0,0,0,1,1,0.12962962962962962,0.27692307692307694,0.6481481481481481,0.2923076923076923,0.2,0.07407407407407407,0.0,0.03076923076923077,0.7333333333333333,1.2666666666666666,0.34285714285714286,0.17142857142857143,0.4857142857142857,0.22857142857142856,0.0,0.30675555555555556,0.40804444444444443,0.058823529411764705,0.2727272727272727,0.21280000000000002,0.26070000000000026,0.1111111111111111,0.18518518518518517,0.3125,0.3220338983050847,0.5423728813559322,0.15625,0.782608695652174,0.23076923076923078,0.42592592592592593,0.16666666666666666,0.4666666666666667,0.2611111111111111,0.027777777777777776,9.0,1.2857142857142856,5.7857142857142865,0.1565217391304348,0.6433874630263422,0.23198025796091737,0.6433874630263422,1.2666666666666666,"{""bet365"": {""0.5"": {""over"": -190, ""under"": 140}}}",0.5,over,bet365,-190.0,0.6551724137931034,True,-0.0118,1.5,,,,,False,
672515,Gabriel Moreno,AZ,STL,1,4.0,1,700241,Michael McGreevy,R,825060,9:40 PM ET,Chase Field,1,1,0.20107719928186715,2026-07-17,825060,1,0,105.5,106.3,89.5,R,4,3,1,0,0,0,1,0,0,1,1,2,0,1,0,1,1,0.5815,0.653,1,0,1,0,1,0,0.37735849056603776,0.45901639344262296,0.8679245283018868,0.11475409836065574,0.43478260869565216,0.03773584905660377,0.0,0.03278688524590164,1.4666666666666666,0.4666666666666667,0.32608695652173914,0.2826086956521739,0.5217391304347826,0.10869565217391304,0.0,0.34485595238095235,0.4019333333333333,0.45,0.13636363636363635,0.3754,0.4541166666666666,0.38181818181818183,0.41818181818181815,0.07692307692307693,0.26,0.5,0.14754098360655737,0.782608695652174,0.23076923076923078,0.42592592592592593,0.16666666666666666,0.4666666666666667,0.2611111111111111,0.027777777777777776,9.0,1.2857142857142856,5.7857142857142865,0.1565217391304348,0.43488232629056306,0.08272275604046708,0.43488232629056306,0.4666666666666667,"{""bet365"": {""0.5"": {""over"": 110, ""under"": -150}}}",0.5,over,bet365,110.0,0.47619047619047616,True,-0.0413,1.5,,,,,False,
672695,Geraldo Perdomo,AZ,STL,1,2.0,1,700241,Michael McGreevy,R,825060,9:40 PM ET,Chase Field,0,1,0.20107719928186715,2026-07-17,825060,1,0,105.5,106.3,89.5,L,4,3,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0.064,0.1785,0,0,0,0,1,0,0.21428571428571427,0.32653061224489793,0.9047619047619048,0.08163265306122448,0.21621621621621623,0.09523809523809523,0.02040816326530612,0.02040816326530612,0.8666666666666667,0.26666666666666666,0.23684210526315788,0.13157894736842105,0.34210526315789475,0.42105263157894735,0.0,0.2241277777777778,0.28328333333333333,0.2631578947368421,0.0,0.22171666666666684,0.32361666666666694,0.2807017543859649,0.43859649122807015,0.06060606060606061,0.26785714285714285,0.4107142857142857,0.12698412698412698,0.782608695652174,0.23076923076923078,0.42592592592592593,0.16666666666666666,0.4666666666666667,0.2611111111111111,0.027777777777777776,9.0,1.2857142857142856,5.7857142857142865,0.1565217391304348,0.36262584314909896,0.07008263875594316,0.36262584314909896,0.26666666666666666,"{""bet365"": {""0.5"": {""over"": 110, ""under"": -150}}}",0.5,over,bet365,110.0,0.47619047619047616,True,-0.1136,1.5,,,,,False,
545121,Ildemaro Vargas,AZ,STL,1,8.0,1,700241,Michael McGreevy,R,825060,9:40 PM ET,Chase Field,0,1,0.20107719928186715,2026-07-17,825060,1,0,105.5,106.3,89.5,L,4,4,2,1,0,0,0,0,0,0,3,4,0,3,0,2,2,0.34475,0.47775,1,1,1,1,0,0,0.21212121212121213,0.2777777777777778,0.8484848484848485,0.1388888888888889,0.25,0.06060606060606061,0.0,0.05555555555555555,0.6,0.3333333333333333,0.42857142857142855,0.21428571428571427,0.5714285714285714,0.07142857142857142,0.0,0.3387111111111111,0.3925,0.25,0.375,0.33760000000000007,0.3954000000000001,0.1590909090909091,0.20454545454545456,0.12,0.17391304347826086,0.2608695652173913,0.07692307692307693,0.782608695652174,0.23076923076923078,0.42592592592592593,0.16666666666666666,0.4666666666666667,0.2611111111111111,0.027777777777777776,9.0,1.2857142857142856,5.7857142857142865,0.1565217391304348,0.3066900158918735,0.03462936413563919,0.3066900158918735,0.3333333333333333,"{""bet365"": {""0.5"": {""over"": 175, ""under"": -235}}}",0.5,over,bet365,175.0,0.36363636363636365,True,-0.0569,1.5,,,,,False,
606466,Ketel Marte,AZ,STL,1,1.0,1,700241,Michael McGreevy,R,825060,9:40 PM ET,Chase Field,0,1,0.20107719928186715,2026-07-17,825060,1,0,105.5,106.3,89.5,L,4,4,0,0,0,0,0,0,0,2,0,2,0,1,1,0,1,0.44,0.749,0,0,0,0,1,1,0.23404255319148937,0.28,0.8297872340425532,0.16,0.2631578947368421,0.14893617021276595,0.02,0.04,1.2,0.5333333333333333,0.3333333333333333,0.20512820512820512,0.46153846153846156,0.23076923076923078,0.0,0.3303761904761905,0.4912095238095238,0.10526315789473684,0.2631578947368421,0.18983333333333316,0.23310000000000017,0.21666666666666667,0.5,0.15151515151515152,0.25806451612903225,0.5,0.18840579710144928,0.782608695652174,0.23076923076923078,0.42592592592592593,0.16666666666666666,0.4666666666666667,0.2611111111111111,0.027777777777777776,9.0,1.2857142857142856,5.7857142857142865,0.1565217391304348,0.4384476706128326,0.11719038473487069,0.4384476706128326,0.5333333333333333,"{""bet365"": {""0.5"": {""over"": 100, ""under"": -135}}}",0.5,over,bet365,100.0,0.5,True,-0.0616,1.5,,,,,False,
666971,Lourdes Gurriel Jr.,AZ,STL,1,6.0,1,700241,Michael McGreevy,R,825060,9:40 PM ET,Chase Field,1,1,0.20107719928186715,2026-07-17,825060,1,0,105.5,106.3,89.5,R,4,4,0,0,0,0,0,0,0,1,0,3,0,1,0,1,1,0.35833333333333334,0.4163333333333333,0,0,0,0,1,0,0.23636363636363636,0.27586206896551724,0.8363636363636363,0.15517241379310345,0.26666666666666666,0.12727272727272726,0.017241379310344827,0.06896551724137931,1.3333333333333333,0.6,0.3695652173913043,0.2608695652173913,0.391304347826087,0.17391304347826086,0.0,0.3249955555555556,0.40956333333333345,0.21052631578947367,0.21052631578947367,0.3974333333333334,0.46481666666666666,0.17857142857142858,0.2857142857142857,0.18032786885245902,0.32,0.36,0.1320754716981132,0.782608695652174,0.23076923076923078,0.42592592592592593,0.16666666666666666,0.4666666666666667,0.2611111111111111,0.027777777777777776,9.0,1.2857142857142856,5.7857142857142865,0.1565217391304348,0.4583346934172496,0.1145003365513717,0.4583346934172496,0.6,,0.5,,,,,False,,1.5,,,,,False,
596146,Max Kepler,AZ,STL,1,5.0,1,700241,Michael McGreevy,R,825060,9:40 PM ET,Chase Field,0,1,0.20107719928186715,2026-07-17,825060,1,0,105.5,106.3,89.5,L,5,3,1,0,0,0,0,0,2,1,1,4,1,3,2,1,1,0.1075,0.16549999999999998,1,0,1,0,1,0,0.19148936170212766,0.20833333333333334,0.7021276595744681,0.2916666666666667,0.22580645161290322,0.2127659574468085,0.041666666666666664,0.08333333333333333,1.2666666666666666,0.9333333333333333,0.42424242424242425,0.3939393939393939,0.18181818181818182,0.3333333333333333,0.06060606060606061,0.3169102564102564,0.6680128205128205,0.2857142857142857,0.4,0.4833333333333334,0.8697222222222223,0.1702127659574468,0.3829787234042553,0.3125,0.1956521739130435,0.2391304347826087,0.2692307692307692,0.782608695652174,0.23076923076923078,0.42592592592592593,0.16666666666666666,0.4666666666666667,0.2611111111111111,0.027777777777777776,9.0,1.2857142857142856,5.7857142857142865,0.1565217391304348,0.6184993264706515,0.23220817388933557,0.6184993264706515,0.9333333333333333,"{""bet365"": {""0.5"": {""over"": -115, ""under"": -115}}}",0.5,over,bet365,-115.0,0.5348837209302325,True,0.0836,1.5,,,,,False,
571448,Nolan Arenado,AZ,STL,1,7.0,1,700241,Michael McGreevy,R,825060,9:40 PM ET,Chase Field,1,1,0.20107719928186715,2026-07-17,825060,1,0,105.5,106.3,89.5,R,4,4,1,1,0,0,0,0,0,0,2,4,0,2,1,2,1,0.2775,0.61175,1,0,1,1,0,0,0.25925925925925924,0.3333333333333333,0.6851851851851852,0.2833333333333333,0.30303030303030304,0.2777777777777778,0.06666666666666667,0.05,1.9333333333333333,1.1333333333333333,0.3783783783783784,0.21621621621621623,0.3783783783783784,0.32432432432432434,0.08108108108108109,0.28851785714285716,0.5081071428571429,0.29411764705882354,0.3333333333333333,0.36937499999999984,0.8126874999999998,0.2641509433962264,0.5471698113207547,0.2711864406779661,0.2549019607843137,0.47058823529411764,0.16666666666666666,0.782608695652174,0.23076923076923078,0.42592592592592593,0.16666666666666666,0.4666666666666667,0.2611111111111111,0.027777777777777776,9.0,1.2857142857142856,5.7857142857142865,0.1565217391304348,0.6098342900182279,0.20916329624619392,0.6098342900182279,1.1333333333333333,"{""bet365"": {""0.5"": {""over"": -110, ""under"": -120}}}",0.5,over,bet365,-110.0,0.5238095238095238,True,0.086,1.5,,,,,False,
694374,Tim Tawa,AZ,STL,1,9.0,1,700241,Michael McGreevy,R,825060,9:40 PM ET,Chase Field,1,1,0.20107719928186715,2026-07-17,825060,1,0,105.5,106.3,89.5,R,4,4,1,0,0,1,0,0,0,1,4,3,1,3,2,1,0,0.445,1.2983333333333333,1,0,1,1,1,0,0.2777777777777778,0.36585365853658536,0.7222222222222222,0.22727272727272727,0.36,0.16666666666666666,0.022727272727272728,0.06818181818181818,1.0666666666666667,0.6666666666666666,0.3448275862068966,0.13793103448275862,0.6206896551724138,0.20689655172413793,0.06896551724137931,0.2954423076923077,0.39571153846153845,0.375,0.15789473684210525,0.31229999999999997,0.50445,0.32432432432432434,0.5675675675675675,0.2727272727272727,0.175,0.225,0.14893617021276595,0.782608695652174,0.23076923076923078,0.42592592592592593,0.16666666666666666,0.4666666666666667,0.2611111111111111,0.027777777777777776,9.0,1.2857142857142856,5.7857142857142865,0.1565217391304348,0.42401123318491535,0.09004098045897709,0.42401123318491535,0.6666666666666666,"{""bet365"": {""0.5"": {""over"": -165, ""under"": 125}}}",0.5,over,bet365,-165.0,0.6226415094339622,True,-0.1986,1.5,,,,,False,
