player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Josh Naylor,SEA,L,PJ Poulin,L,WSH,WSH,A,mlb_schedule,0.0988538766058661,912,0,,,,,0.099035398687635,0.1296928327645051,0.0853242320819112,0.7849829351535836,4.1,0.998167098995164,93.0,,,,0,,,CALM,1:35 PM ET,Nationals Park,8.0,3.0,,1,6.0,5.897,0.0,0.1860465116279069,0.1046511627906976,83.66001587301588,0.24986,0.3312744444444445,0.0161290322580645,0.2741935483870967,0.0161290322580645,,,,,2,0,0,0.0,7,1,2026-06-14,822722,647304
Luke Raley,SEA,L,PJ Poulin,L,WSH,WSH,A,mlb_schedule,0.0985158682700139,915,0,,,,,0.0993203632120314,0.22,0.08,0.7000000000000001,4.0,0.9919,93.0,,,,0,,,CALM,1:35 PM ET,Nationals Park,,4.0,,0,15.0,5.897,0.015625,0.171875,0.1875,80.79517724867725,0.3859071428571428,0.5995119047619049,0.0161290322580645,0.2741935483870967,0.0161290322580645,,,,,2,0,0,0.0,16,0,2026-06-14,822722,670042
Mauricio Dubón,ATL,R,Freddy Peralta,R,NYM,NYM,A,mlb_schedule,0.0982340259755873,918,0,,,,,0.0984581871732144,0.1590909090909091,0.0757575757575757,0.7651515151515151,4.2,0.9977232853451512,95.6,89.0,19.3,19.288242961468548,0,93.0,20.0,19 MPH TOWARD OF,1:40 PM ET,Citi Field,6.0,2.0,,1,9.0,4.003,0.0106382978723404,0.1489361702127659,0.1489361702127659,82.33756084656085,0.4131177777777778,0.5578455555555556,0.0286624203821656,0.2388535031847133,0.019108280254777,4.04,1.1538461538461535,10.0,78.0,0,0,0,,5,1,2026-06-14,823615,643289
CJ Abrams,WSH,L,Emerson Hancock,R,WSH,SEA,H,mlb_schedule,0.0975816819793331,925,0,,,,,0.0987847947611318,0.2033898305084746,0.1288135593220339,0.6677966101694915,4.0,0.9878208707655074,93.0,,,,0,,,CALM,1:35 PM ET,Nationals Park,14.0,4.0,,1,7.0,3.721,0.0109890109890109,0.2747252747252747,0.1318681318681318,85.98379894179895,0.3931654761904762,0.5992714285714286,0.0239520958083832,0.2425149700598802,0.0269461077844311,2.74,1.1894273127753303,10.0,75.66666666666667,4,0,0,0.0,12,2,2026-06-14,822722,682928
Kevin McGonigle,DET,L,Gavin Williams,R,CLE,CLE,A,mlb_schedule,0.0975530396865783,925,0,,,,,0.0979640438666823,0.1333333333333333,0.1466666666666666,0.72,4.3,0.995804540483616,106.3,84.9,16.4,-1.714266797589518,0,95.0,91.0,CROSSWIND 16 MPH,1:40 PM ET,Progressive Field,4.0,1.0,,1,7.0,3.804,0.0120481927710843,0.253012048192771,0.1686746987951807,83.12092063492064,0.3168666666666667,0.42223,0.0098360655737704,0.3049180327868852,0.0295081967213114,3.32,1.35,13.0,86.66666666666667,0,0,0,,4,1,2026-06-14,824424,805808
Jordan Lawlar,AZ,R,Andrew Abbott,L,CIN,CIN,A,mlb_schedule,0.0953058057131489,949,0,,,,,0.0965719627564892,0.22,0.08,0.7000000000000001,3.6,0.9868889788795844,113.5,84.0,16.8,4.064287846074417,0,98.0,63.0,CROSSWIND 17 MPH,1:40 PM ET,Great American Ball Park,,7.0,,1,73.0,4.747,0.0,0.2181818181818181,0.109090909090909,81.53744444444443,0.3207666666666666,0.4042333333333333,0.0162337662337662,0.25,0.0259740259740259,4.1,1.2053571428571428,10.0,74.66666666666667,0,0,0,,1,0,2026-06-14,824506,691783
Nick Solak,SD,R,Trevor Rogers,L,BAL,BAL,A,mlb_schedule,0.0951124575416005,951,0,,,,,0.0963760459150955,0.22,0.08,0.7000000000000001,3.6,0.9868889788795844,94.3,94.5,14.6,12.38150220388382,0,93.0,63.0,12 MPH TOWARD OF,1:35 PM ET,Camden Yards,,7.0,,0,1413.0,4.609,0.0,0.25,0.1363636363636363,82.16944444444444,0.4112742424242425,0.6058333333333333,0.019047619047619,0.2412698412698412,0.0253968253968253,,,,,0,0,0,,0,0,2026-06-14,824823,669256
Jackson Chourio,MIL,R,Cristopher Sánchez,L,MIL,PHI,H,mlb_schedule,0.0950464114700674,952,0,,,,,0.0955859412441732,0.22,0.08,0.7000000000000001,4.3,0.9943555530543188,113.4,72.3,16.6,-13.257349466785064,0,79.0,20.0,13 MPH TOWARD HP,2:10 PM ET,American Family Field,,1.0,,1,10.0,1.846,0.0128205128205128,0.282051282051282,0.1794871794871795,85.85261904761904,0.4611477777777777,0.7102866666666666,0.0070422535211267,0.306338028169014,0.0105633802816901,1.54,0.3857142857142857,4.0,93.33333333333331,4,0,0,0.0,6,2,2026-06-14,823777,694192
Eugenio Suárez,CIN,R,Zac Gallen,R,CIN,AZ,H,mlb_schedule,0.0948748779800988,954,0,,,,,0.0957496809096579,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,113.5,84.0,16.8,4.064287846074417,0,98.0,63.0,CROSSWIND 17 MPH,1:40 PM ET,Great American Ball Park,,5.0,,0,14.0,5.012,0.0151515151515151,0.1969696969696969,0.1363636363636363,82.346,0.3498214285714285,0.5987857142857143,0.0134680134680134,0.2794612794612794,0.0303030303030303,,,,,10,4,4,0.4,3,2,2026-06-14,824506,553993
Daylen Lile,WSH,L,Emerson Hancock,R,WSH,SEA,H,mlb_schedule,0.0945798651374383,957,0,,,,,0.0951781046484301,0.1726384364820846,0.0814332247557003,0.745928338762215,3.7,0.993714525906966,93.0,,,,0,,,CALM,1:35 PM ET,Nationals Park,8.0,6.0,,1,9.0,3.721,0.0303030303030303,0.1818181818181818,0.2121212121212121,80.86974603174602,0.3549566666666666,0.5678977777777778,0.0239520958083832,0.2425149700598802,0.0269461077844311,2.74,1.1894273127753303,10.0,75.66666666666667,4,0,0,0.0,9,0,2026-06-14,822722,695734
