player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Troy Johnston,COL,L,Sandy Alcantara,R,COL,MIA,H,mlb_schedule,0.1033986457147333,867,1,bet365,900,0.1,0.0034,0.0753986457147333,0.175,0.0928571428571428,0.7321428571428571,3.7,0.992357385418521,113.9,90.0,18.3,6.855300659511189,0,63.0,0.0,7 MPH TOWARD OF,8:40 PM ET,Coors Field,3.0,6.0,11.5,0,84.0,4.063,0.0,0.2769230769230769,0.1538461538461538,85.03136507936507,0.31311,0.4363966666666666,0.0153846153846153,0.2358974358974359,0.0205128205128205,4.01,0.9818181818181818,12.0,110.0,0,0,0,,3,0,2026-06-29,824339,687859,"{""novig"": {""odds"": 733}, ""bet365"": {""odds"": 900}, ""fanduel"": {""odds"": 680}}"
Brandon Marsh,PHI,L,Braxton Ashcraft,R,PHI,PIT,H,mlb_schedule,0.1515553146970365,560,1,fanduel,560,0.15151515151515152,0.0,0.1235553146970365,0.255663430420712,0.0517799352750809,0.6925566343042071,4.0,0.9910657005731929,118.3,90.1,13.7,1.9066714831528968,0,97.0,9.0,CROSSWIND 14 MPH,6:40 PM ET,Citizens Bank Park,12.0,4.0,8.5,1,4.0,3.113,0.0232558139534883,0.2093023255813953,0.1395348837209302,80.81028042328042,0.3844744444444444,0.5834422222222223,0.00920245398773,0.2822085889570552,0.0214723926380368,3.07,0.7448275862068965,8.0,96.66666666666669,6,0,0,0.0,10,2,2026-06-29,823444,669016,"{""novig"": {""odds"": 525}, ""bet365"": {""odds"": 450}, ""pinnacle"": {""odds"": 490}, ""fanduel"": {""odds"": 560}}"
Justin Crawford,PHI,L,Braxton Ashcraft,R,PHI,PIT,H,mlb_schedule,0.0766617697719122,1204,1,fanduel,1100,0.08333333333333333,-0.0067,0.0486617697719122,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,118.3,90.1,13.7,1.9066714831528968,0,97.0,9.0,CROSSWIND 14 MPH,6:40 PM ET,Citizens Bank Park,,9.0,8.5,0,47.0,3.113,0.0,0.1222222222222222,0.0555555555555555,78.7264175084175,0.3907361111111111,0.4809513888888889,0.00920245398773,0.2822085889570552,0.0214723926380368,3.07,0.7448275862068965,8.0,96.66666666666669,6,2,0,0.333,2,0,2026-06-29,823444,702222,"{""novig"": {""odds"": 1011}, ""bet365"": {""odds"": 950}, ""fanduel"": {""odds"": 1100}}"
Austin Hedges,CLE,R,Tyler Alexander,L,CLE,TEX,H,mlb_schedule,0.0780819233497121,1181,1,fanduel,1060,0.08620689655172414,-0.0081,0.0500819233497121,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,95.7,87.6,11.8,-4.799492388294444,0,94.0,1.0,5 MPH TOWARD HP,7:10 PM ET,Progressive Field,,9.0,7.5,0,58.0,3.619,0.032258064516129,0.2096774193548387,0.1612903225806451,80.26180952380952,0.3213833333333333,0.4462,0.02,0.3,0.0,,,,,20,4,2,0.2,0,1,2026-06-29,824420,595978,"{""fanduel"": {""odds"": 1060}}"
Dylan Beavers,BAL,L,Sean Burke,R,BAL,CWS,H,mlb_schedule,0.1204926514192542,730,1,fanduel,630,0.136986301369863,-0.0165,0.0924926514192542,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,115.6,89.8,8.2,-4.223312214262444,0,96.0,5.0,4 MPH TOWARD HP,6:35 PM ET,Camden Yards,,6.0,9.0,0,66.0,3.689,0.0123456790123456,0.2345679012345679,0.1234567901234567,81.16592496392497,0.3408155555555555,0.4922,0.022140221402214,0.2324723247232472,0.025830258302583,3.71,1.133587786259542,11.0,87.33333333333333,6,0,0,0.0,2,0,2026-06-29,824822,687637,"{""novig"": {""odds"": 590}, ""bet365"": {""odds"": 625}, ""fanduel"": {""odds"": 630}}"
TJ Rumfield,COL,L,Sandy Alcantara,R,COL,MIA,H,mlb_schedule,0.1420579818739086,604,1,bet365,525,0.16,-0.0179,0.1140579818739086,0.1463414634146341,0.1128048780487804,0.7408536585365854,4.0,0.9954899606821346,113.9,90.0,18.3,6.855300659511189,0,63.0,0.0,7 MPH TOWARD OF,8:40 PM ET,Coors Field,12.0,4.0,11.5,0,8.0,4.063,0.0129870129870129,0.1428571428571428,0.2597402597402597,79.8075634920635,0.3118055555555555,0.4174733333333333,0.0153846153846153,0.2358974358974359,0.0205128205128205,4.01,0.9818181818181818,12.0,110.0,4,0,0,0.0,12,0,2026-06-29,824339,681198,"{""novig"": {""odds"": 506}, ""bet365"": {""odds"": 525}, ""pinnacle"": {""odds"": 495}, ""fanduel"": {""odds"": 520}}"
Taylor Ward,BAL,R,Sean Burke,R,BAL,CWS,H,mlb_schedule,0.1458858524903411,585,1,fanduel,500,0.16666666666666666,-0.0208,0.1178858524903411,0.2118863049095607,0.1782945736434108,0.6098191214470284,4.2,0.9807992971932942,94.3,89.8,8.2,-4.223312214262444,0,96.0,5.0,4 MPH TOWARD HP,6:35 PM ET,Camden Yards,5.0,2.0,9.0,0,7.0,3.689,0.0240963855421686,0.216867469879518,0.1566265060240964,83.62400000000001,0.4054055555555556,0.5948333333333333,0.022140221402214,0.2324723247232472,0.025830258302583,3.71,1.133587786259542,11.0,87.33333333333333,18,8,0,0.444,3,2,2026-06-29,824822,621493,"{""novig"": {""odds"": 471}, ""bet365"": {""odds"": 450}, ""fanduel"": {""odds"": 500}}"
Brayan Rocchio,CLE,R,Tyler Alexander,L,CLE,TEX,H,mlb_schedule,0.0791420942510606,1164,1,bet365,900,0.1,-0.0209,0.0511420942510606,0.1359223300970873,0.1035598705501618,0.7605177993527509,4.2,0.9975285740111618,95.7,87.6,11.8,-4.799492388294444,0,94.0,1.0,5 MPH TOWARD HP,7:10 PM ET,Progressive Field,5.0,2.0,7.5,0,23.0,3.619,0.0,0.1475409836065573,0.081967213114754,79.86874338624338,0.3237976190476191,0.4122499999999999,0.02,0.3,0.0,,,,,8,2,0,0.25,4,2,2026-06-29,824420,677587,"{""novig"": {""odds"": 770}, ""bet365"": {""odds"": 900}, ""fanduel"": {""odds"": 680}}"
Cole Carrigg,COL,R,Sandy Alcantara,R,COL,MIA,H,mlb_schedule,0.1212653342608129,725,1,fanduel,600,0.14285714285714285,-0.0216,0.0932653342608129,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,99.3,90.0,18.3,6.855300659511189,0,63.0,0.0,7 MPH TOWARD OF,8:40 PM ET,Coors Field,,5.0,11.5,0,14.0,4.063,0.0,0.1777777777777777,0.0888888888888888,80.54633333333332,0.3484305555555556,0.4053030303030303,0.0153846153846153,0.2358974358974359,0.0205128205128205,4.01,0.9818181818181818,12.0,110.0,0,0,0,,2,1,2026-06-29,824339,694249,"{""novig"": {""odds"": 590}, ""bet365"": {""odds"": 525}, ""pinnacle"": {""odds"": 575}, ""fanduel"": {""odds"": 600}}"
Blaze Alexander,BAL,R,Sean Burke,R,BAL,CWS,H,mlb_schedule,0.134141031848301,645,1,fanduel,540,0.15625,-0.0221,0.106141031848301,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,94.3,89.8,8.2,-4.223312214262444,0,96.0,5.0,4 MPH TOWARD HP,6:35 PM ET,Camden Yards,,8.0,9.0,1,8.0,3.689,0.0379746835443038,0.2784810126582278,0.1265822784810126,86.20783333333334,0.4763011111111111,0.7114544444444444,0.022140221402214,0.2324723247232472,0.025830258302583,3.71,1.133587786259542,11.0,87.33333333333333,4,0,0,0.0,2,1,2026-06-29,824822,677942,"{""fanduel"": {""odds"": 540}}"
Steven Kwan,CLE,L,Tyler Alexander,L,CLE,TEX,H,mlb_schedule,0.0473324283274129,2013,1,fanduel,1300,0.07142857142857142,-0.0241,0.0193324283274129,0.1061093247588424,0.1382636655948553,0.7556270096463023,3.6,0.9937339835352006,106.3,87.6,11.8,-4.799492388294444,0,94.0,1.0,5 MPH TOWARD HP,7:10 PM ET,Progressive Field,1.0,7.0,7.5,0,84.0,3.619,0.0,0.0923076923076923,0.1538461538461538,80.52137037037036,0.333595238095238,0.4214642857142857,0.02,0.3,0.0,,,,,20,2,0,0.1,1,0,2026-06-29,824420,680757,"{""novig"": {""odds"": 1011}, ""bet365"": {""odds"": 1100}, ""fanduel"": {""odds"": 1300}}"
Travis Bazzana,CLE,L,Tyler Alexander,L,CLE,TEX,H,mlb_schedule,0.11096190220619119,801,1,fanduel,630,0.136986301369863,-0.026,0.0829619022061912,0.22,0.08,0.7000000000000001,4.3,0.9943555530543188,106.3,87.6,11.8,-4.799492388294444,0,94.0,1.0,5 MPH TOWARD HP,7:10 PM ET,Progressive Field,,1.0,7.5,0,9.0,3.619,0.0121951219512195,0.2195121951219512,0.1707317073170731,84.14456084656085,0.2849944444444444,0.4366666666666666,0.02,0.3,0.0,,,,,2,0,0,0.0,7,2,2026-06-29,824420,683953,"{""novig"": {""odds"": 567}, ""bet365"": {""odds"": 575}, ""fanduel"": {""odds"": 630}}"
Adley Rutschman,BAL,R,Sean Burke,R,BAL,CWS,H,mlb_schedule,0.138666644294606,621,1,bet365,500,0.16666666666666666,-0.028,0.110666644294606,0.22,0.08,0.7000000000000001,4.1,0.9928187979804218,94.3,89.8,8.2,-4.223312214262444,0,96.0,5.0,4 MPH TOWARD HP,6:35 PM ET,Camden Yards,,3.0,9.0,0,24.0,3.689,0.0153846153846153,0.2307692307692307,0.1076923076923077,82.95188888888889,0.2952611111111111,0.3810611111111111,0.022140221402214,0.2324723247232472,0.025830258302583,3.71,1.133587786259542,11.0,87.33333333333333,8,2,0,0.25,5,3,2026-06-29,824822,668939,"{""novig"": {""odds"": 441}, ""bet365"": {""odds"": 500}, ""pinnacle"": {""odds"": 456}, ""fanduel"": {""odds"": 450}}"
