player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Yandy Díaz,TB,R,Robert Stock,R,TB,NYM,H,mlb_schedule,0.1674686126952254,497,0,,,,,0.1394686126952254,0.140893470790378,0.1013745704467354,0.7577319587628867,4.3,0.9977484927465479,110.5,87.5,0.0,0.0,1,94.0,33.0,DOME,6:40 PM ET,Tropicana Field,20.0,1.0,1,3.0,,0.0576923076923076,0.4807692307692308,0.1346153846153846,90.8208888888889,0.3887111111111111,0.57353,0.0595238095238095,,,,,0,0,0,,13,7,2026-08-31,822932,650490
Daylen Lile,WSH,L,Ryan Gusto,R,WSH,MIA,H,mlb_schedule,0.1652089914755078,505,0,,,,,0.1372089914755078,0.1898066783831282,0.0720562390158172,0.7381370826010545,4.0,0.9952978551002735,93.0,88.8,5.7,-5.246877664678911,0,94.0,14.0,5 MPH TOWARD HP,6:45 PM ET,Nationals Park,18.0,4.0,1,4.0,,0.0416666666666666,0.3958333333333333,0.3541666666666667,88.11511111111112,0.46843,0.7172344444444445,0.0512820512820512,,,,,8,4,0,0.5,18,1,2026-08-31,822689,695734
Tyler Stephenson,CIN,R,Michael King,R,CIN,SD,H,mlb_schedule,0.1650766588735248,506,0,,,,,0.1370766588735248,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,113.5,94.9,9.6,4.94436551913652,0,90.0,1.0,5 MPH TOWARD OF,6:40 PM ET,Great American Ball Park,,5.0,1,1.0,4.019,0.0625,0.40625,0.28125,88.93722222222223,0.36655,0.5879388888888888,0.0509554140127388,3.23,1.0384615384615383,18.0,156.0,14,4,0,0.286,13,2,2026-08-31,824473,663886
Ronald Acuña Jr.,ATL,R,Anthony Molina,R,ATL,SF,H,mlb_schedule,0.1617010777193609,518,0,,,,,0.1337010777193609,0.22,0.08,0.7000000000000001,4.2,0.9936333750066674,92.8,92.3,6.5,-5.1220698984436925,0,92.0,4.0,5 MPH TOWARD HP,6:05 PM ET,Truist Park,,2.0,0,16.0,,0.0263157894736842,0.4473684210526316,0.1842105263157894,89.89000000000001,0.4249777777777778,0.589338888888889,0.032258064516129,,,,,2,0,0,0.0,9,4,2026-08-31,824911,660670
Abimelec Ortiz,WSH,L,Ryan Gusto,R,WSH,MIA,H,mlb_schedule,0.1613012436003955,520,0,,,,,0.1333012436003955,0.22,0.08,0.7000000000000001,4.2,0.9936333750066674,93.0,88.8,5.7,-5.246877664678911,0,94.0,14.0,5 MPH TOWARD HP,6:45 PM ET,Nationals Park,,2.0,0,15.0,,0.025,0.375,0.275,90.33266666666668,0.3808722222222222,0.5538044444444445,0.0512820512820512,,,,,4,0,0,0.0,5,0,2026-08-31,822689,694673
Bo Bichette,NYM,R,Ian Seymour,L,TB,TB,A,mlb_schedule,0.1613012436003955,520,0,,,,,0.1333012436003955,0.1810344827586207,0.0689655172413793,0.75,4.2,0.9970396160810344,110.5,87.5,0.0,0.0,1,94.0,33.0,DOME,6:40 PM ET,Tropicana Field,14.0,2.0,0,9.0,4.243,0.0444444444444444,0.5555555555555556,0.3333333333333333,92.86944444444444,0.3888722222222222,0.5739888888888889,0.0846153846153846,,,,,0,0,0,,9,6,2026-08-31,822932,666182
Randy Arozarena,SEA,R,Payton Tolle,L,BOS,BOS,A,mlb_schedule,0.1607823532884668,522,0,,,,,0.1327823532884668,0.2158273381294964,0.1366906474820144,0.6474820143884892,4.3,0.9887051750883578,85.2,76.9,9.0,-7.092096782460497,0,91.0,17.0,7 MPH TOWARD HP,6:45 PM ET,Fenway Park,20.0,1.0,0,8.0,2.656,0.0512820512820512,0.3333333333333333,0.282051282051282,89.48266666666665,0.3342755555555555,0.4793133333333333,0.0522388059701492,,,,,0,0,0,,16,6,2026-08-31,824719,668227
Brooks Lee,MIN,R,Jackson Jobe,R,MIN,DET,H,mlb_schedule,0.1602829192566545,524,0,,,,,0.1322829192566545,0.1638095238095238,0.0685714285714285,0.7676190476190475,4.2,0.9978220785384265,92.4,91.1,7.8,-4.802159507540135,0,100.0,4.0,5 MPH TOWARD HP,7:40 PM ET,Target Field,22.0,2.0,1,3.0,,0.0625,0.5,0.4375,92.98555555555556,0.3892,0.6326555555555555,0.0472972972972973,,,,,0,0,0,,19,4,2026-08-31,823663,686797
Francisco Alvarez,NYM,R,Ian Seymour,L,TB,TB,A,mlb_schedule,0.15876213932795818,530,0,,,,,0.1307621393279582,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,110.5,87.5,0.0,0.0,1,94.0,33.0,DOME,6:40 PM ET,Tropicana Field,,9.0,0,22.0,4.243,0.032258064516129,0.4193548387096774,0.2258064516129032,91.29166666666669,0.3464055555555555,0.4946055555555556,0.0846153846153846,,,,,0,0,0,,11,2,2026-08-31,822932,682626
Austin Riley,ATL,R,Anthony Molina,R,ATL,SF,H,mlb_schedule,0.15876213932795818,530,0,,,,,0.1307621393279582,0.3178438661710037,0.0966542750929368,0.5855018587360595,3.5,0.9541510857232222,92.8,92.3,6.5,-5.1220698984436925,0,92.0,4.0,5 MPH TOWARD HP,6:05 PM ET,Truist Park,15.0,8.0,0,19.0,,0.09375,0.53125,0.4375,95.33944444444444,0.4716333333333333,0.7163555555555555,0.032258064516129,,,,,4,0,0,0.0,13,4,2026-08-31,824911,663586
