player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Trea Turner,PHI,R,Janson Junk,R,PHI,MIA,H,mlb_schedule,0.1535915717209805,551,1,novig,669.0,0.13003901170351106,0.0236,0.1255915717209805,0.2157598499061913,0.0694183864915572,0.7148217636022515,4.2,0.994853774748576,114.1,85.6,7.1,-6.148780366869515,0,99.0,63.0,6 MPH TOWARD HP,6:40 PM ET,Citizens Bank Park,17.0,2.0,8.0,0,9.0,4.1,0.0357142857142857,0.2857142857142857,0.2321428571428571,83.63633333333334,0.3641355555555556,0.4821055555555555,0.062111801242236,,,,,6,0,0,0.0,14,3,2026-08-17,823427,607208,"{""novig"": {""odds"": 669}, ""bet365"": {""odds"": 525}, ""betmgm"": {""odds"": 425}, ""pinnacle"": {""odds"": 525}, ""fanduel"": {""odds"": 570}}"
Mauricio Dubón,ATL,R,Bailey Ober,R,MIN,MIN,A,mlb_schedule,0.1209568276749351,727,1,fanduel,920.0,0.09803921568627451,0.0229,0.0929568276749351,0.1263157894736842,0.0631578947368421,0.8105263157894738,3.9,0.9984779086801591,92.4,85.1,10.6,-3.970829890208668,0,93.0,15.0,4 MPH TOWARD HP,7:40 PM ET,Target Field,10.0,5.0,4.0,0,37.0,4.96,0.0,0.2692307692307692,0.3076923076923077,88.6231111111111,0.2986366666666666,0.3887844444444444,0.053763440860215,,,,,0,0,0,,6,4,2026-08-17,823668,643289,"{""novig"": {""odds"": 852}, ""bet365"": {""odds"": 850}, ""betmgm"": {""odds"": 775}, ""draftkings"": {""odds"": 820}, ""fanduel"": {""odds"": 920}}"
Chandler Simpson,TB,L,Brandon Young,R,TB,BAL,H,mlb_schedule,0.0567791702289597,1661,1,bet365,2800.0,0.034482758620689655,0.0223,0.0287791702289597,0.0862068965517241,0.0452586206896551,0.8685344827586207,3.9,0.9996340967791392,99.8,,,,0,,,CALM,6:05 PM ET,Tropicana Field,0.0,5.0,7.5,0,149.0,4.276,0.0,0.1147540983606557,0.1639344262295081,79.41555555555554,0.2559722222222222,0.3252333333333334,0.0352941176470588,,,,,0,0,0,,1,0,2026-08-17,822939,802415,"{""novig"": {""odds"": 1941}, ""bet365"": {""odds"": 2800}, ""draftkings"": {""odds"": 1480}, ""fanduel"": {""odds"": 1500}}"
Jared Triolo,PIT,R,Framber Valdez,L,PIT,DET,H,mlb_schedule,0.0935411660196283,969,1,bet365,1300.0,0.07142857142857142,0.0221,0.0655411660196283,0.22,0.08,0.7000000000000001,4.3,0.9943555530543188,76.9,81.5,7.7,-1.469229264399395,0,95.0,23.0,CROSSWIND 8 MPH,7:05 PM ET,PNC Park,,1.0,8.5,1,4.0,4.091,0.0,0.3793103448275862,0.1724137931034483,86.88777777777777,0.3293777777777778,0.4281666666666666,0.0289017341040462,4.26,0.8796992481203008,13.0,133.0,8,6,0,0.75,2,0,2026-08-17,823343,669707,"{""novig"": {""odds"": 1150}, ""bet365"": {""odds"": 1300}, ""betmgm"": {""odds"": 1200}, ""draftkings"": {""odds"": 940}, ""fanduel"": {""odds"": 980}}"
Bryson Stott,PHI,L,Janson Junk,R,PHI,MIA,H,mlb_schedule,0.1469846156324749,580,1,bet365,700.0,0.125,0.022,0.1189846156324749,0.1688034188034188,0.1025641025641025,0.7286324786324786,3.7,0.9919801894132795,118.3,85.6,7.1,-6.148780366869515,0,99.0,63.0,6 MPH TOWARD HP,6:40 PM ET,Citizens Bank Park,9.0,6.0,8.0,1,2.0,4.1,0.0,0.4666666666666667,0.1555555555555555,89.90033333333334,0.3787611111111111,0.4758755555555555,0.062111801242236,,,,,8,2,0,0.25,8,2,2026-08-17,823427,681082,"{""novig"": {""odds"": 641}, ""bet365"": {""odds"": 700}, ""pinnacle"": {""odds"": 550}, ""fanduel"": {""odds"": 570}}"
Leo Jiménez,MIA,R,Cristopher Sánchez,L,PHI,PHI,A,mlb_schedule,0.09314158003086259,974,1,fanduel,1300.0,0.07142857142857142,0.0217,0.0651415800308626,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,114.1,85.6,7.1,-6.148780366869515,0,99.0,63.0,6 MPH TOWARD HP,6:40 PM ET,Citizens Bank Park,,7.0,8.0,0,38.0,1.846,0.03125,0.4375,0.15625,87.91777777777777,0.2649611111111111,0.3694777777777778,0.0532544378698224,2.54,0.7516059957173448,13.0,155.66666666666666,6,0,0,0.0,0,2,2026-08-17,823427,677870,"{""novig"": {""odds"": 1150}, ""bet365"": {""odds"": 1250}, ""betmgm"": {""odds"": 775}, ""fanduel"": {""odds"": 1300}}"
Luisangel Acuña,CWS,R,Shota Imanaga,L,CHC,CHC,A,mlb_schedule,0.0863474673635141,1058,1,novig,1438.0,0.06501950585175553,0.0213,0.0583474673635141,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,105.5,73.3,11.0,-10.993299097210054,0,93.0,7.0,11 MPH TOWARD HP,8:05 PM ET,Wrigley Field,,8.0,11.0,0,57.0,4.929,0.0,0.3225806451612903,0.0967741935483871,84.69444444444443,0.2865777777777777,0.3542,0.048780487804878,3.74,1.8349514563106797,28.0,137.33333333333334,4,0,0,0.0,1,0,2026-08-17,824641,682668,"{""novig"": {""odds"": 1438}, ""bet365"": {""odds"": 1200}, ""betmgm"": {""odds"": 1050}, ""draftkings"": {""odds"": 1340}, ""fanduel"": {""odds"": 1300}}"
Andruw Monasterio,BOS,R,Mitch Bratt,L,BOS,AZ,H,mlb_schedule,0.1355809022060143,638,1,novig,770.0,0.11494252873563218,0.0206,0.1075809022060143,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,85.2,76.1,9.7,4.099397138884784,0,93.0,21.0,4 MPH TOWARD OF,7:10 PM ET,Fenway Park,,7.0,9.0,0,19.0,,0.0,0.2083333333333333,0.2916666666666667,87.96566666666668,0.3011644444444444,0.3899755555555556,0.048780487804878,,,,,0,0,0,,1,5,2026-08-17,824725,655316,"{""novig"": {""odds"": 770}, ""bet365"": {""odds"": 650}, ""draftkings"": {""odds"": 750}, ""fanduel"": {""odds"": 710}}"
Luke Keaschall,MIN,R,Martín Pérez,L,MIN,ATL,H,mlb_schedule,0.1185319737998471,744,1,fanduel,920.0,0.09803921568627451,0.0205,0.0905319737998471,0.1553610503282275,0.1356673960612691,0.7089715536105032,4.3,0.9950463833334987,92.4,85.1,10.6,-3.970829890208668,0,93.0,15.0,4 MPH TOWARD HP,7:40 PM ET,Target Field,7.0,1.0,4.0,1,4.0,3.982,0.0,0.3488372093023256,0.3488372093023256,85.62444444444444,0.4222722222222222,0.5877777777777777,0.0347222222222222,,,,,0,0,0,,7,1,2026-08-17,823668,807712,"{""novig"": {""odds"": 852}, ""bet365"": {""odds"": 900}, ""betmgm"": {""odds"": 675}, ""fanduel"": {""odds"": 920}}"
Kyle Isbel,KC,L,Mason Barnett,R,KC,ATH,H,mlb_schedule,0.0916033410082569,992,1,bet365,1300.0,0.07142857142857142,0.0202,0.0636033410082569,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,85.2,,,,0,,,CALM,7:40 PM ET,Kauffman Stadium,,9.0,5.0,1,7.0,,0.0,0.4390243902439024,0.1707317073170731,84.30944444444444,0.24215,0.2882555555555556,0.109375,,,,,0,0,0,,3,1,2026-08-17,824077,664728,"{""novig"": {""odds"": 1150}, ""bet365"": {""odds"": 1300}, ""betmgm"": {""odds"": 875}, ""fanduel"": {""odds"": 1120}}"
