player_name,team_abbr,stand,pitcher_name,p_throws,home_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,season_hr,bat_order,recent_hr,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,game_date,game_id,batter,game_total
Coby Mayo,BAL,R,Emerson Hancock,R,BAL,H,mlb_schedule,0.178122559208399,461,1,betrivers,550.0,0.1538461538461538,0.0243,0.1799772796180519,0.22,0.08,0.7000000000000001,,0.9896946969440308,94.3,78.0,9.4,-7.7000292163165245,0,,7.0,1,0.0,0.3488372093023256,0.1395348837209302,87.14156926406926,0.5600111111111111,0.8857888888888888,0.0149700598802395,0.2455089820359281,0.0239520958083832,2026-06-08,824829,691723,
Patrick Bailey,CLE,L,Will Warren,R,CLE,H,mlb_schedule,0.1105642212822615,804,1,prophetx,1000.0,0.0909090909090909,0.0197,0.1117154831926054,0.22,0.08,0.7000000000000001,,0.9896946969440308,106.3,90.7,10.0,1.736481776669304,0,,8.0,0,0.06,0.24,0.16,83.64716666666666,0.3195347222222222,0.5413030303030303,0.0107913669064748,0.2410071942446043,0.0251798561151079,2026-06-08,824427,672275,
Myles Straw,TOR,R,Cristopher Sánchez,L,TOR,H,mlb_schedule,0.0673161407714846,1386,1,prophetx,1900.0,0.05,0.0173,0.0680170773667301,0.22,0.08,0.7000000000000001,,0.9896946969440308,106.3,69.7,10.5,-8.704894511827938,0,,7.0,0,0.0,0.2,0.2,83.03733333333334,0.2479513888888889,0.3205277777777777,0.0137931034482758,0.3,0.0103448275862068,2026-06-08,822806,664702,
Ryan McMahon,NYY,L,Gavin Williams,R,CLE,A,mlb_schedule,0.1505771074234597,564,1,prophetx,650.0,0.1333333333333333,0.0172,0.1521450078376797,0.22,0.08,0.7000000000000001,,0.9896946969440308,106.3,90.7,10.0,1.736481776669304,0,,8.0,1,0.0317460317460317,0.238095238095238,0.1746031746031746,81.50177777777778,0.3804722222222222,0.5644277777777779,0.0098684210526315,0.3092105263157895,0.0263157894736842,2026-06-08,824427,641857,
Cedric Mullins,TB,L,Connelly Early,L,TB,H,mlb_schedule,0.1057209643159645,846,1,prophetx,980.0,0.0925925925925925,0.0131,0.1065551893318218,0.1767441860465116,0.1023255813953488,0.7209302325581395,,0.9921709583447926,99.8,94.1,0.0,0.0,1,5.0,9.0,1,0.0119047619047619,0.2261904761904762,0.1904761904761904,83.93679365079365,0.3424523809523809,0.5016904761904762,0.01,0.2666666666666666,0.03,2026-06-08,822972,656775,
Edmundo Sosa,PHI,R,Patrick Corbin,L,TOR,A,mlb_schedule,0.1235240284724607,710,1,prophetx,760.0,0.1162790697674418,0.0072,0.1248102357766258,0.22,0.08,0.7000000000000001,,0.9896946969440308,106.3,69.7,10.5,-8.704894511827938,0,,9.0,1,0.0441176470588235,0.2352941176470588,0.1176470588235294,80.19574603174603,0.436501282051282,0.6823461538461538,0.0242214532871972,0.28719723183391,0.0173010380622837,2026-06-08,822806,624641,
Alec Bohm,PHI,R,Patrick Corbin,L,TOR,A,mlb_schedule,0.1318865765728964,658,1,prophetx,700.0,0.125,0.0069,0.1323091039902512,0.1428571428571428,0.0775510204081632,0.7795918367346939,,0.9968065128958478,106.3,69.7,10.5,-8.704894511827938,0,7.0,5.0,1,0.0116279069767441,0.2674418604651162,0.1162790697674418,86.37307142857142,0.37225,0.5218,0.0242214532871972,0.28719723183391,0.0173010380622837,2026-06-08,822806,664761,
Brayan Rocchio,CLE,L,Will Warren,R,CLE,H,mlb_schedule,0.0936283693117307,968,1,prophetx,1050.0,0.0869565217391304,0.0067,0.0940132366626068,0.1218487394957983,0.1134453781512605,0.7647058823529411,,0.9959062429447324,106.3,90.7,10.0,1.736481776669304,0,5.0,9.0,1,0.0,0.2142857142857142,0.1428571428571428,84.51480952380953,0.2947692307692308,0.3923680555555555,0.0107913669064748,0.2410071942446043,0.0251798561151079,2026-06-08,824427,677587,
Bryce Harper,PHI,L,Patrick Corbin,L,TOR,A,mlb_schedule,0.1573580616411607,535,1,prophetx,560.0,0.1515151515151515,0.0058,0.1597461688111113,0.1858736059479553,0.1449814126394052,0.6691449814126395,,0.985050613809872,108.2,69.7,10.5,-8.704894511827938,0,14.0,3.0,1,0.0149253731343283,0.3582089552238806,0.1044776119402985,87.31218253968254,0.5392666666666667,0.8177944444444445,0.0242214532871972,0.28719723183391,0.0173010380622837,2026-06-08,822806,547180,
Jazz Chisholm Jr.,NYY,L,Gavin Williams,R,CLE,A,mlb_schedule,0.1578239716841596,534,1,prophetx,550.0,0.1538461538461538,0.004,0.1622278958680771,0.2903225806451613,0.0967741935483871,0.6129032258064516,,0.972853471590985,106.3,90.7,10.0,1.736481776669304,0,8.0,5.0,1,0.0,0.3058823529411765,0.1294117647058823,85.5011507936508,0.4421066666666666,0.6672821428571428,0.0098684210526315,0.3092105263157895,0.0263157894736842,2026-06-08,824427,665862,
