player_name,team_abbr,stand,pitcher_name,p_throws,home_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Justin Crawford,PHI,L,Jacob Misiorowski,R,MIL,A,mlb_schedule,0.04505211143822115,2120,1,novig,1329.0,0.06997900629811056,-0.0249,0.0458163568118441,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,105.1,78.7,13.7,0.2390979681907853,0,86.0,0.0,CROSSWIND 14 MPH,7:40 PM ET,American Family Field,,9.0,7.5,0,30.0,1.908,0.0,0.1408450704225352,0.0985915492957746,80.32036507936508,0.2430555555555555,0.2951722222222222,0.0,0.1686274509803921,0.0078431372549019,1.5,0.4615384615384615,4.0,78.0,0,0,0,,2,0,2026-06-12,823778,702222
Kevin McGonigle,DET,L,Tanner Bibee,R,CLE,A,mlb_schedule,0.11398372764779854,777,1,prophetx,620.0,0.1388888888888889,-0.0249,0.1144773322643101,0.1305841924398625,0.1512027491408934,0.718213058419244,4.3,0.9956881890349095,106.3,76.2,15.7,-5.626376807861214,0,89.0,23.0,6 MPH TOWARD HP,7:10 PM ET,Progressive Field,4.0,1.0,8.5,1,5.0,4.632,0.0120481927710843,0.253012048192771,0.1686746987951807,83.12092063492064,0.3168666666666667,0.42223,0.023728813559322,0.2847457627118644,0.0338983050847457,4.09,1.5194805194805194,13.0,77.0,4,0,0,0.0,4,1,2026-06-12,824425,805808
Ty France,SD,R,Shane Baz,R,BAL,A,mlb_schedule,0.11681374381342834,756,1,prophetx,600.0,0.14285714285714285,-0.026,0.1183656381957442,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,94.3,95.9,12.6,10.911920087683928,0,92.0,14.0,11 MPH TOWARD OF,7:05 PM ET,Camden Yards,,7.0,9.5,0,14.0,3.983,0.025,0.225,0.075,82.28446825396826,0.2729487179487179,0.4036282051282051,0.0113314447592068,0.2492917847025495,0.0198300283286118,4.09,0.9350649350649352,8.0,77.0,0,0,0,,7,1,2026-06-12,824826,664034
Joe Mack,MIA,L,Braxton Ashcraft,R,PIT,A,mlb_schedule,0.06655191754096351,1403,1,prophetx,980.0,0.09259259259259259,-0.026,0.0675508945566281,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,90.6,82.1,13.4,3.693540567947789,0,91.0,18.0,CROSSWIND 13 MPH,6:40 PM ET,PNC Park,,8.0,8.5,1,10.0,3.113,0.0259740259740259,0.2207792207792207,0.0909090909090909,82.67039177489178,0.4926333333333333,0.7705444444444445,0.0098360655737704,0.2459016393442623,0.0229508196721311,3.28,0.9037656903765692,8.0,79.66666666666667,0,0,0,,1,0,2026-06-12,823370,691788
Jake Burger,TEX,R,Sonny Gray,R,BOS,A,mlb_schedule,0.140175272073146,613,1,betrivers,500.0,0.16666666666666666,-0.0265,0.1429132887975178,0.2546816479400749,0.0786516853932584,0.6666666666666667,3.6,0.9808414126677116,85.2,92.3,15.0,-14.72440775171496,0,86.0,20.0,15 MPH TOWARD HP,7:10 PM ET,Fenway Park,11.0,7.0,8.5,0,19.0,3.934,0.0327868852459016,0.3442622950819672,0.1311475409836065,86.37909523809523,0.3251222222222222,0.4717277777777778,0.0161943319838056,0.2267206477732793,0.0161943319838056,,,,,18,4,0,0.222,8,4,2026-06-12,824752,669394
Brett Baty,NYM,L,Spencer Strider,R,NYM,H,mlb_schedule,0.08420894807201107,1088,1,novig,793.0,0.11198208286674133,-0.0278,0.0865491896964827,0.2794759825327511,0.0873362445414847,0.6331877729257642,3.6,0.9729605599696708,95.0,94.5,12.3,-1.2857000981921387,0,88.0,45.0,CROSSWIND 12 MPH,7:15 PM ET,Citi Field,3.0,7.0,8.0,0,25.0,4.461,0.0,0.1515151515151515,0.106060606060606,81.79420634920635,0.3378269230769231,0.4371538461538461,0.0193050193050193,0.2316602316602316,0.0308880308880308,,,,,16,6,0,0.375,3,0,2026-06-12,823617,683146
Myles Straw,TOR,R,Ryan Weathers,L,TOR,H,mlb_schedule,0.062087820359346804,1511,1,novig,1011.0,0.09000900090009001,-0.0279,0.0629126697005322,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,106.3,,,,0,,,CALM,7:37 PM ET,Rogers Centre,,7.0,8.0,0,41.0,4.114,0.0,0.1891891891891892,0.1351351351351351,81.87780952380953,0.2427371794871795,0.3056153846153846,0.0174216027874564,0.2543554006968641,0.0383275261324041,3.86,1.6714285714285717,13.0,70.0,6,2,0,0.333,1,1,2026-06-12,822803,664702
Caleb Durbin,BOS,R,Jack Leiter,R,BOS,H,mlb_schedule,0.05515855887977632,1713,1,prophetx,1100.0,0.08333333333333333,-0.0282,0.0553595538400272,0.1428571428571428,0.0761904761904762,0.7809523809523811,3.7,0.9963692814282482,85.2,92.3,15.0,-14.72440775171496,0,86.0,20.0,15 MPH TOWARD HP,7:10 PM ET,Fenway Park,3.0,6.0,8.5,0,48.0,4.452,0.0,0.2142857142857142,0.1142857142857142,81.11272222222222,0.29304,0.3737944444444444,0.0252365930599369,0.2365930599369085,0.0252365930599369,4.69,1.3943661971830985,11.0,71.0,2,0,0,0.0,2,1,2026-06-12,824752,702332
Jake Mangum,PIT,L,Sandy Alcantara,R,PIT,H,mlb_schedule,0.0333091338200988,2902,1,prophetx,1500.0,0.0625,-0.0292,0.0338091203017429,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,90.6,82.1,13.4,3.693540567947789,0,91.0,18.0,CROSSWIND 13 MPH,6:40 PM ET,PNC Park,,8.0,8.5,0,13.0,4.063,0.0,0.1153846153846153,0.0641025641025641,78.00163492063491,0.3052142857142857,0.4054107142857143,0.0237467018469656,0.2401055408970976,0.0263852242744063,4.33,1.0074626865671643,10.0,89.33333333333333,0,0,0,,1,0,2026-06-12,823370,663968
Brandon Lowe,PIT,L,Sandy Alcantara,R,PIT,H,mlb_schedule,0.17293952436372786,478,1,novig,393.0,0.2028397565922921,-0.0299,0.175340303774237,0.2436363636363636,0.1163636363636363,0.64,4.2,0.9863078861001614,90.6,82.1,13.4,3.693540567947789,0,91.0,18.0,CROSSWIND 13 MPH,6:40 PM ET,PNC Park,16.0,2.0,8.5,0,10.0,4.063,0.0138888888888888,0.25,0.1527777777777778,82.2027388167388,0.4050138888888888,0.5949027777777777,0.0237467018469656,0.2401055408970976,0.0263852242744063,4.33,1.0074626865671643,10.0,89.33333333333333,32,12,0,0.375,12,4,2026-06-12,823370,664040
