log_date,game_date,player_name,team_abbr,stand,pitcher_name,p_throws,home_team,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,hr_park_factor,temp_f,wind_speed,wind_favor,game_id,batter,hit_hr,actual_hr_count
2026-06-09,2026-06-08,Marcelo Mayer,BOS,L,Ian Seymour,L,TB,mlb_schedule,0.0795193482349014,1158,1,novig,964.0,0.093984962406015,-0.0145,0.0803473520474955,99.8,94.1,0.0,0.0,822972,691785,1,1
2026-06-09,2026-06-08,Daniel Schneemann,CLE,L,Will Warren,R,CLE,mlb_schedule,0.0852960877529283,1072,1,prophetx,890.0,0.101010101010101,-0.0157,0.0861842424904414,106.3,90.7,10.0,1.736481776669304,824427,682177,0,0
2026-06-09,2026-06-08,Angel Martínez,CLE,R,Will Warren,R,CLE,mlb_schedule,0.1010661238169056,889,1,betrivers,750.0,0.1176470588235294,-0.0166,0.1017163582554405,95.7,90.7,10.0,1.736481776669304,824427,682657,1,1
2026-06-09,2026-06-08,George Springer,TOR,R,Cristopher Sánchez,L,TOR,mlb_schedule,0.0956956927075187,945,1,prophetx,770.0,0.1149425287356321,-0.0192,0.0966921344562186,106.3,69.7,10.5,-8.704894511827938,822806,543807,0,0
2026-06-09,2026-06-08,Mickey Gasper,BOS,R,Ian Seymour,L,TB,mlb_schedule,0.0895233687606527,1017,1,prophetx,820.0,0.108695652173913,-0.0192,0.0904555405187904,110.5,94.1,0.0,0.0,822972,681508,0,0
2026-06-09,2026-06-08,Pete Alonso,BAL,R,Emerson Hancock,R,BAL,mlb_schedule,0.1847424431795735,441,1,prophetx,390.0,0.2040816326530612,-0.0193,0.1876674642152638,94.3,78.0,9.4,-7.7000292163165245,824829,624413,0,0
2026-06-09,2026-06-08,Caleb Durbin,BOS,R,Ian Seymour,L,TB,mlb_schedule,0.0595976344520201,1578,1,betrivers,1150.0,0.08,-0.0204,0.0597872240810263,110.5,94.1,0.0,0.0,822972,702332,0,0
2026-06-09,2026-06-08,José Caballero,NYY,R,Gavin Williams,R,CLE,mlb_schedule,0.0528056741962032,1794,1,novig,1251.0,0.0740192450037009,-0.0212,0.0533555189890943,95.7,90.7,10.0,1.736481776669304,824427,676609,0,0
2026-06-09,2026-06-08,Tyler Heineman,TOR,R,Cristopher Sánchez,L,TOR,mlb_schedule,0.0395719509882313,2427,1,prophetx,1500.0,0.0625,-0.0229,0.0399839982071452,106.3,69.7,10.5,-8.704894511827938,822806,623168,0,0
2026-06-09,2026-06-08,Ceddanne Rafaela,BOS,R,Ian Seymour,L,TB,mlb_schedule,0.0938362396316119,966,1,betrivers,750.0,0.1176470588235294,-0.0238,0.0947152648738022,110.5,94.1,0.0,0.0,822972,678882,0,0
